name,family,metric_type,task_type,feature_set,promotion_verdict,leaderboard_rank_corr,is_360_only,log_loss,brier,roc_auc,pr_auc,ece,log_loss_std,brier_std,roc_auc_std
baseline_logit,baseline,cxg,classification,traditional,not_applicable,0.8857142857142858,False,0.320843078102509,0.09485202103317054,0.7884739134739135,0.4184487385214726,0.022105115147621028,0.025154734125136614,0.008325471450048035,0.028199535303301906
glm_contextual,glm,cxg,classification,contextual,not_applicable,0.942857142857143,False,0.3334281494359095,0.09822542413732258,0.7631422631422631,0.40768038456973515,0.03232734344094281,0.023713664473144293,0.008230610175778152,0.0293128340847481
xgb_traditional,tree,cxg,classification,traditional,not_applicable,0.942857142857143,False,0.3395446904941144,0.09786859235054206,0.7697628947628948,0.3916904622641253,0.03213222301315352,0.023461051299375743,0.006466158822006869,0.020878663021204967
xgb_contextual,tree,cxg,classification,contextual,not_applicable,0.8285714285714287,False,0.3698873193443461,0.10570045716618592,0.7326378576378577,0.3716956773954081,0.06425343046277868,0.020011281367765275,0.0055243621299423855,0.025259107575414972
lgbm_traditional,tree,cxg,classification,traditional,not_applicable,0.8857142857142858,False,0.5046583567298327,0.11272676854910979,0.7497153747153746,0.35438806735301515,0.0922399525438726,0.03308496066765906,0.006393063918900712,0.021686841525938222
lgbm_contextual,tree,cxg,classification,contextual,not_applicable,0.8285714285714287,False,0.5803686334035126,0.11043491017833297,0.7251881001881002,0.3665894828669275,0.09907779234983288,0.04820020646382143,0.009675009896196253,0.0209899281469307
